Peak (ms),Timestamp (ms),Est Tau (ms),Rise Time (ms),Rise Rate (pA/ms),Amplitude (pA),Fit Amplitude (pA),Fit Tau (ms),Amp Offset (pA),Start (ms),IEI (ms),Acquisition,Holding Current (pA)
588.5,10588.5,1.7978923146258239,1.4,20.945269582439916,29.32337741541588,-28.856953243209542,2.123262722604786,0.22509410285711398,5842,37.10000000000002,2,-44.403797399657776
625.6,10625.6,1.26299115699112,1.6,5.373893862974559,8.598230180759295,-7.679856160648563,0.8842004262961163,-0.5820554082883375,6211,55.5,2,-44.403797399657776
681.1,10681.1,2.4829359440366714,1.3,10.725308068772902,13.942900489404774,-12.459136860388949,2.835105817656403,-0.810318245596975,6769,80.19999999999993,2,-44.403797399657776
761.3,10761.3,3.041033431612232,1.8,2.9124082578408266,5.242334864113488,-2.1285539938434828,0.34539186701300506,-2.5254053853758136,7569,13.800000000000068,2,-44.403797399657776
775.1,10775.1,8.2929431452887,1.8,6.224418735550172,11.20395372399031,-9.028077993720487,11.264324042906821,1.276365306377979,7708,47.5,2,-44.403797399657776
822.6,10822.6,2.599520537321223,1.5,24.087799780761017,36.131699671141526,-30.790011999378642,1.9144796922693816,-1.959708068296432,8183,271.1,2,-44.403797399657776
1093.7,11093.7,4.980043469725206,2.1,9.850236908418418,20.68549750767868,-15.497947837621027,3.7464927535447234,-0.16832873234624668,10894,230.39999999999986,2,-44.403797399657776
1324.1,11324.1,3.906512456940436,3.5,2.930847109693954,10.257964883928839,-10.034388927812042,3.4957281798063033,0.20610372462778878,13186,72.5,2,-44.403797399657776
1396.6,11396.6,1.839575476265054,2.7,1.6535266737938006,4.464522019243262,-4.041314184998172,0.9776997211437759,-0.562183354345229,13921,105.30000000000018,2,-44.403797399657776
1501.9,11501.9,3.9020878012819593,1.8,9.26638978075954,16.679501605367175,-15.436540817507426,4.135164939136369,1.0633522644949094,14975,416.89999999999986,2,-44.403797399657776
1918.8,11918.8,3.1888594882442702,1.8,5.542440683315675,9.976393229968215,-11.153597340124412,3.2874182924166773,0.9594325049372326,19145,251.60000000000014,2,-44.403797399657776
2170.4,12170.4,3.9126620056013053,1.8,12.800725090144873,23.041305162260773,-24.951470332015045,3.3177649891960272,0.9615296332063479,21661,43.19999999999982,2,-44.403797399657776
2213.6,12213.6,2.9383483251906,1.6,25.715461739918002,41.1447387838688,-41.15114974270487,2.7358350661773514,0.7209005254884662,22093,98.09999999999991,2,-44.403797399657776
2311.7,12311.7,7.16672455980879,2.4,2.726095362327694,6.542628869586466,-2330.1900108795116,26226.014008128855,2325.7013776736417,23073,13.300000000000182,2,-44.403797399657776
2325.0,12325.0,3.3133308392763867,1.4,11.91305596323975,16.67827834853565,-14.044402546958827,2.697019304220996,-0.8568222547773368,23208,310.9000000000001,2,-44.403797399657776
2635.9,12635.9,3.772966760253621,2.5,2.698140418018428,6.745351045046069,-4.619652604705598,4.413535897346852,0.1152049168571777,26314,112.09999999999991,2,-44.403797399657776
2748.0,12748.0,4.969344946905039,3.1,2.785434154289407,8.634845878297162,-8.541740674860584,3.4213113408361795,-0.040386040029574875,27431,106.30000000000018,2,-44.403797399657776
2854.3,12854.3,0.8988558424029179,1.8,3.1792779150154344,5.722700247027782,-3.074775454586197,13.612529530563053,0.7656012339063442,28499,47.59999999999991,2,-44.403797399657776
2901.9,12901.9,1.3141782309692644,4.5,3.2228638815794923,14.502887467107715,-12.994236565356411,2.7526817944289355,-0.009656216452246773,28974,204.4000000000001,2,-44.403797399657776
3106.3,13106.3,1.9509183389818645,1.5,44.89063879106251,67.33595818659376,-65.98573887774768,1.582165345233916,0.16077146831697542,31020,104.69999999999982,2,-44.403797399657776
3211.0,13211.0,3.2834525055583073,1.6,3.512849475529232,5.6205591608467715,-6.98843447526833,3.9652990445334515,0.30912084737403495,32066,125.69999999999982,2,-44.403797399657776
3336.7,13336.7,1.0428694084148447,2.2,2.8276092092208134,6.22074026028579,-5.914396468100428,0.5904202252220845,0.942887287341836,33322,128.4000000000001,2,-44.403797399657776
3465.1,13465.1,2.391311022460286,1.6,17.228947538633168,27.566316061813072,-31.417841123089865,2.849780688712119,0.14862334177558176,34608,113.40000000000009,2,-44.403797399657776
3578.5,13578.5,4.061474007905053,2.2,4.632300485202781,10.19106106744612,-11.189100020429247,3.9664030444126515,0.23516485305706183,35739,424.5999999999999,2,-44.403797399657776
4003.1,14003.1,4.637539492412179,3.0,3.189812846352096,9.569438539056287,-11.917917815482951,5.079187320694821,0.6703069518188524,39980,53.09999999999991,2,-44.403797399657776
4056.2,14056.2,1.6482981395172829,1.4,35.731479888061145,50.024071843285604,-62.85822541952683,2.9653643084472487,-3.5204440240489494,40519,15.100000000000364,2,-44.403797399657776
4071.3,14071.3,1.8942557126370958,2.5,2.9733967024447443,7.43349175611186,-10.256558129847338,3.251330478370692,-0.22098445770836972,40663,60.0,2,-44.403797399657776
